scope,key,n_tiles,n_positive_tiles,positive_rate
global,all,31879,6718,0.2107343392201763
split,test,10833,0,0.0
split,train,15749,5172,0.32840180328909774
split,val,5297,1546,0.29186331885973194
imagesource,GF,3040,0,0.0
imagesource,GoogleEarth,13736,6718,0.48907979033197435
imagesource,JL,4270,0,0.0
imagesource,unknown,10833,0,0.0
class,baseball diamond,594,251,0.4225589225589226
class,basketball court,471,262,0.5562632696390658
class,bridge,1981,114,0.05754669358909641
class,container crane,55,8,0.14545454545454545
class,ground track field,922,274,0.29718004338394793
class,harbor,2695,1442,0.535064935064935
class,helicopter,186,89,0.478494623655914
class,large vehicle,3511,2990,0.8516092281401311
class,plane,2912,1164,0.39972527472527475
class,roundabout,882,302,0.3424036281179138
class,ship,3593,1631,0.4539382131923184
class,small vehicle,6718,6718,1.0
class,soccer ball field,759,375,0.49407114624505927
class,storage tank,1069,273,0.255378858746492
class,swimming pool,1059,826,0.7799811142587346
class,tennis court,1014,729,0.7189349112426036
